Time,Channel A,Channel B
(s),(V),(V)

-9.11100057,0.00045778,0.00000000
-9.11080057,0.00045778,0.00000000
-9.11060057,0.00045778,0.00000000
-9.11040057,0.00045778,0.00000000
-9.11020057,0.00045778,0.00000000
-9.11000057,0.00045778,0.00000000
-9.10980057,0.00045778,0.00000000
-9.10960057,0.00045778,0.00000000
-9.10940057,0.00045778,0.00000000
-9.10920057,0.00045778,0.00000000
-9.10900057,0.00045778,0.00000000
-9.10880057,0.00045778,0.00000000
-9.10860057,0.00045778,0.00000000
-9.10840057,0.00045778,0.00000000
-9.10820057,0.00045778,0.00000000
-9.10800057,0.00045778,0.00000000
-9.10780057,0.00045778,0.00000000
-9.10760057,0.00045778,0.00000000
-9.10740057,0.00045778,0.00000000
-9.10720057,0.00045778,0.00000000
-9.10700057,0.00045778,0.00000000
-9.10680057,0.00045778,0.00000000
-9.10660057,0.00045778,0.00000000
-9.10640057,0.00045778,0.00000000
-9.10620057,0.00045778,0.00000000
-9.10600057,0.00045778,0.00000000
-9.10580057,0.00045778,0.00000000
-9.10560057,0.00045778,0.00000000
-9.10540057,0.00045778,0.00000000
-9.10520057,0.00045778,0.00000000
-9.10500057,0.00045778,0.00000000
-9.10480057,0.00045778,0.00000000
-9.10460057,0.00045778,0.00000000
-9.10440057,0.00045778,0.00000000
-9.10420057,0.00045778,0.00000000
-9.10400057,0.00045778,0.00000000
-9.10380057,0.00045778,0.00000000
-9.10360057,0.00045778,0.00000000
-9.10340057,0.00045778,0.00000000
-9.10320057,0.00045778,0.00000000
-9.10300057,0.00045778,0.00000000
-9.10280057,0.00045778,0.00000000
-9.10260057,0.00045778,0.00000000
-9.10240057,0.00045778,0.00000000
-9.10220057,0.00045778,0.00000000
-9.10200057,0.00045778,0.00000000
-9.10180057,0.00045778,0.00000000
-9.10160057,0.00045778,0.00000000
-9.10140057,0.00045778,0.00000000
-9.10120057,0.00045778,0.00000000
-9.10100057,0.00045778,0.00000000
-9.10080057,0.00045778,0.00000000
-9.10060057,0.00045778,0.00000000
-9.10040057,0.00045778,0.00000000
-9.10020057,0.00045778,0.00000000
-9.10000057,0.00045778,0.00000000
-9.09980057,0.00045778,0.00000000
-9.09960057,0.00045778,0.00000000
-9.09940057,0.00045778,0.00000000
-9.09920057,0.00045778,0.00000000
-9.09900057,0.00045778,0.00000000
-9.09880057,0.00045778,0.00000000
-9.09860057,0.00045778,0.00000000
-9.09840057,0.00045778,0.00000000
-9.09820057,0.00045778,0.00000000
-9.09800057,0.00045778,0.00000000
-9.09780057,0.00045778,0.00000000
-9.09760057,0.00045778,0.00000000
-9.09740057,0.00045778,0.00000000
-9.09720057,0.00045778,0.00000000
-9.09700057,0.00045778,0.00000000
-9.09680057,0.00045778,0.00000000
-9.09660057,0.00045778,0.00000000
-9.09640057,0.00045778,0.00000000
-9.09620057,0.00045778,0.00000000
-9.09600057,0.00045778,0.00000000
-9.09580057,0.00045778,0.00000000
-9.09560057,0.00045778,0.00000000
-9.09540057,0.00045778,0.00000000
-9.09520057,0.00045778,0.00000000
-9.09500057,0.00045778,0.00000000
-9.09480057,0.00045778,0.00000000
-9.09460057,0.00045778,0.00000000
-9.09440057,0.00045778,0.00000000
-9.09420057,0.00045778,0.00000000
-9.09400057,0.00045778,0.00000000
-9.09380057,0.00045778,0.00000000
-9.09360057,0.00045778,0.00000000
-9.09340057,0.00045778,0.00000000
-9.09320057,0.00045778,0.00000000
-9.09300057,0.00045778,0.00000000
-9.09280057,0.00045778,0.00000000
-9.09260057,0.00045778,0.00000000
-9.09240057,0.00045778,0.00000000
-9.09220057,0.00045778,0.00000000
-9.09200057,0.00045778,0.00000000
-9.09180057,0.00045778,0.00000000
-9.09160057,0.00045778,0.00000000
-9.09140057,0.00045778,0.00000000
-9.09120057,0.00045778,0.00000000
-9.09100057,0.00045778,0.00000000
-9.09080057,0.00045778,0.00000000
-9.09060057,0.00045778,0.00000000
-9.09040057,0.00045778,0.00000000
-9.09020057,0.00045778,0.00000000
-9.09000057,0.00045778,0.00000000
-9.08980057,0.00045778,0.00000000
-9.08960057,0.00045778,0.00000000
-9.08940057,0.00045778,0.00000000
-9.08920057,0.00045778,0.00000000
-9.08900057,0.00045778,0.00000000
-9.08880057,0.00045778,0.00000000
-9.08860057,0.00045778,0.00000000
-9.08840057,0.00045778,0.00000000
-9.08820057,0.00045778,0.00000000
-9.08800057,0.00045778,0.00000000
-9.08780057,0.00045778,0.00000000
-9.08760057,0.00045778,0.00000000
-9.08740057,0.00045778,0.00000000
-9.08720057,0.00045778,0.00000000
-9.08700057,0.00045778,0.00000000
-9.08680057,0.00045778,0.00000000
-9.08660057,0.00045778,0.00000000
-9.08640057,0.00045778,0.00000000
-9.08620057,0.00045778,0.00000000
-9.08600057,0.00045778,0.00000000
-9.08580057,0.00045778,0.00000000
-9.08560057,0.00045778,0.00000000
-9.08540057,0.00045778,0.00000000
-9.08520057,0.00045778,0.00000000
-9.08500057,0.00045778,0.00000000
-9.08480057,0.00045778,0.00000000
-9.08460057,0.00045778,0.00000000
-9.08440057,0.00045778,0.00000000
-9.08420057,0.00045778,0.00000000
-9.08400057,0.00045778,0.00000000
-9.08380057,0.00045778,0.00000000
-9.08360057,0.00045778,0.00000000
-9.08340057,0.00045778,0.00000000
-9.08320057,0.00045778,0.00000000
-9.08300057,0.00045778,0.00000000
-9.08280057,0.00045778,0.00000000
-9.08260057,0.00045778,0.00000000
-9.08240057,0.00045778,0.00000000
-9.08220057,0.00045778,0.00000000
-9.08200057,0.00045778,0.00000000
-9.08180057,0.00045778,0.00000000
-9.08160057,0.00045778,0.00000000
-9.08140057,0.00045778,0.00000000
-9.08120057,0.00045778,0.00000000
-9.08100057,0.00045778,0.00000000
-9.08080057,0.00045778,0.00000000
-9.08060057,0.00045778,0.00000000
-9.08040057,0.00045778,0.00000000
-9.08020057,0.00045778,0.00000000
-9.08000057,0.00045778,0.00000000
-9.07980057,0.00045778,0.00000000
